issue,issue-sum,service,service-sum,agree,disagree,noidea,category1,category2,category3,category4
청년 실업,3361547901000.0,반환금 및 기타,6850000,1,4,0,농림해양수산,농업ㆍ농촌,일반예산(재무활동),보전지출(복지건강본부 동물보호과)
청년 실업,3361547901000.0,남산봉수의식 등 전통문화행사,868826000,1,4,0,문화및관광,문화재,역사문화유산의 계승 발전,전통문화 활성화
청년 실업,3361547901000.0,어두운 골목길 LED보안등 도로조명 개선(관악구 주민참여),50000000,0,6,0,수송및교통,도로,도로시설물 관리,도로 및 도로부속물 관리
청년 실업,3361547901000.0,방배동 효령로 일대 하수관거 개량,0,0,5,0,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 신설개량
청년 실업,3361547901000.0,하계 배수분구 하수관로 종합정비,5000000000.0,0,4,2,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 종합정비
청년 실업,3361547901000.0,방범우수 건물 등 인증제,25000000,0,4,0,국토및지역개발,지역및도시,아름답고 매력있는 도시건축조성 지원,건축물 공공성 강화
청년 실업,3361547901000.0,도심공원을 시민헬스장으로 재탄생(주민참여),30000000,0,3,0,국토및지역개발,지역및도시,공원 녹지정책 개발 및 만족도 개선,공원 유지관리 및 이용활성화
청년 실업,3361547901000.0,동물원 유지관리,2370494000.0,0,3,1,국토및지역개발,지역및도시,공원이용시민 만족도 향상,동물사 관리기능 및 야생동물 종보전
청년 실업,3361547901000.0,자연학습교실 운영,235422000,0,4,1,국토및지역개발,지역및도시,공원이용시민 만족도 향상,자연학습장 운영
청년 실업,3361547901000.0,역류방지 밸브 설치,1500000000,1,3,2,환경보호,상하수도ㆍ수질,안정된 아리수 공급체계 구축,최적의 관망환경 조성
청년 실업,3361547901000.0,다드림 문화복합시설,800000000,2,3,1,사회복지,보육ㆍ가족및여성,글로벌 도시환경 및 선진 다문화 사회 조성,외국인 생활 지원강화
청년 실업,3361547901000.0,택시요금 카드수수료 지원,7900000000.0,2,3,0,수송및교통,대중교통ㆍ물류등기타,택시서비스 수준 향상 및 물류체계 개선,택시서비스 향상 및 물류관리
청년 실업,3361547901000.0,공공기관 에너지자립 지원사업,0,0,4,0,환경보호,대기,에너지절약과 생산으로 원전하나줄이기,신재생에너지 보급
청년 실업,3361547901000.0,한강교량 방호,10000000,1,4,0,수송및교통,도로,교량관리,한강교량관리
청년 실업,3361547901000.0,정화조 악취저감장치 설치,300000000,1,5,0,환경보호,상하수도ㆍ수질,하수시설 관리,하수악취 저감(일반회계)
청년 실업,3361547901000.0,청계천 경사면 식재 수종교체(마장2교~축산물시장 간),0,0,3,1,국토및지역개발,수자원,치수 및 하천 관리,하천복원 및 정비
청년 실업,3361547901000.0,기본경비,600580000,0,5,1,기타,기타,행정운영경비(도시계획국 도시계획과),기본경비
청년 실업,3361547901000.0,관악산 선우지구 생태공원 방범시설 설치(주민참여),0,0,3,1,국토및지역개발,지역및도시,공원 녹지정책 개발 및 만족도 개선,공원 유지관리 및 이용활성화
청년 실업,3361547901000.0,회의록 발간,30330000,0,4,2,일반공공행정,입법및선거관리,의회운영 강화 및 의회 청사시설의 안정적 관리,의회운영 사업
청년 실업,3361547901000.0,의정활동수행비,8576365000.0,0,2,0,일반공공행정,입법및선거관리,의회운영 강화 및 의회 청사시설의 안정적 관리,의회운영 사업
청년 실업,3361547901000.0,시민 제안 발굴 및 실행,1249635000,2,2,0,일반공공행정,일반행정,사회문제 해결을 위한 사회혁신의제 발굴실행,사회혁신 기반 조성 및 성과 확산
청년 실업,3361547901000.0,어르신 문화체육 활성화,440700000,0,2,2,사회복지,노인ㆍ청소년,어르신복지 수준향상 및 장사시설 운영 내실화,어르신 사회활동 지원
청년 실업,3361547901000.0,창신동 주택가 공동주차장 건설,4150000000.0,1,3,0,수송및교통,대중교통ㆍ물류등기타,주차장 확충 및 관리,주차장 건설 및 운영관리(주차관리계정)
청년 실업,3361547901000.0,햇빛으로 밝은 도서관 만들기(주민참여),130000000,0,3,0,환경보호,대기,에너지절약과 생산으로 원전하나줄이기,신재생에너지 보급
청년 실업,3361547901000.0,은평 자연환경역사박물관 건립 지원,0,0,5,0,문화및관광,문화재,역사문화유산의 계승 발전,문화재 보존 복원
청년 실업,3361547901000.0,스토리가있는 공공시설물 설치,0,1,4,1,문화및관광,문화및관광일반,디자인 역량 강화추진,SOFT 서울기반구축 사업
청년 실업,3361547901000.0,"중곡1동 233-1~232-60 간 하수관 개량(광진구, 주민참여)",280000000,1,4,0,환경보호,상하수도ㆍ수질,하수도 관리(주민참여),하수관로 정비(주민참여-일반회계)
청년 실업,3361547901000.0,시흥천 단면확장,400000000,0,2,1,국토및지역개발,수자원,치수 및 하천 관리,하천복원 및 정비
청년 실업,3361547901000.0,서울특별시 용도지역별 허용용도 정비방안 연구,100000000,1,3,1,국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구
청년 실업,3361547901000.0,어린이공원 노후시설 및 수림대 수목정비(주민참여),0,1,6,0,국토및지역개발,지역및도시,공원 녹지정책 개발 및 만족도 개선,공원 유지관리 및 이용활성화
청년 실업,3361547901000.0,마을공동체 종합지원센터 운영,2630545000.0,29,39,13,일반공공행정,일반행정,마을공동체를 회복하여 따뜻한 서울조성,주민주도의 마을공동체 회복지원
청년 실업,3361547901000.0,"마을아!같이살자!(안전마을,지속가능한 마을공동체)(주민참여)",150000000,20,43,19,일반공공행정,일반행정,마을공동체를 회복하여 따뜻한 서울조성,주민주도의 마을공동체 회복지원
청년 실업,3361547901000.0,"마을공동체 사례발굴,확산",355000000,12,48,19,일반공공행정,일반행정,마을공동체를 회복하여 따뜻한 서울조성,마을공동체 인식확산 및 소통강화
청년 실업,3361547901000.0,마을공동체 교육,150000000,18,43,17,일반공공행정,일반행정,마을공동체를 회복하여 따뜻한 서울조성,마을공동체 인식확산 및 소통강화
청년 실업,3361547901000.0,다문화 마을공동체 활성화 지원,60000000,13,49,14,사회복지,보육ㆍ가족및여성,글로벌 도시환경 및 선진 다문화 사회 조성,건강가정 조성
청년 실업,3361547901000.0,염리동 범죄예방디자인 및 마을공동체 추진을 위한 대흥가압장 운영(주민참여),0,13,57,11,문화및관광,문화및관광일반,디자인 역량 강화추진,사회문제 해결을 위한 디자인개발사업
청년 실업,3361547901000.0,창3동 주민센터 작은도서관 조성(주민참여),40000000,22,41,19,문화및관광,문화예술,도서관 및 독서문화 진흥,도서관 시설확충
청년 실업,3361547901000.0,관악구 청룡동 주민센터 다목적실 방음공사(주민참여),16000000,16,54,12,일반공공행정,일반행정,시·자치구간 공동협력 추진,시·자치구간 공동협력
청년 실업,3361547901000.0,도봉구 도봉2동 주민센터 무더위 쉼터 리모델링 사업(주민참여),70000000,15,53,13,일반공공행정,일반행정,시·자치구간 공동협력 추진,시·자치구간 공동협력
청년 실업,3361547901000.0,서촌 현장사무소 운영 및 마을공동체 활성화,50000000,17,46,14,국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반)
청년 실업,3361547901000.0,온라인 시민 청원사이트 서울천만인소 유지보수,12458000,1,4,0,일반공공행정,일반행정,시정 청렴도 향상,시정 청렴도 향상
청년 실업,3361547901000.0,마곡산업단지 글로벌기업 유치활동 추진,138500000,1,2,0,국토및지역개발,산업단지,서울경제를 견인하는 첨단 R&D 단지 조성,신성장 경제거점 마곡 R&D클러스터 조성
청년 실업,3361547901000.0,반환금 및 기타,205761000,0,6,0,보건,식품의약안전,일반예산(재무활동),보전지출(복지건강본부 식품안전과)
청년 실업,3361547901000.0,4.19 문화제 지원,300000000,0,1,0,문화및관광,문화예술,문화예술진흥,시민과 함께하는 문화행사 개최
청년 실업,3361547901000.0,특별사법경찰 활동 활성화지원,1152777000,0,6,0,공공질서및안전,경찰,민생사법경찰 활동강화를 통한 안전도시 서울 구현,민생사법경찰 업무활성화
청년 실업,3361547901000.0,북가좌2동 저지대 침수해소,1000000000,1,5,0,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 신설개량
청년 실업,3361547901000.0,회현동일대 지구단위계획 수립,200000000,0,5,0,국토및지역개발,지역및도시,지속가능한 역사문화도심 구현,역사도심활성화
청년 실업,3361547901000.0,도시·건축 공동위원회 운영,133587000,0,5,0,국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등
청년 실업,3361547901000.0,공동구유지 관리 부담금,2441124000.0,0,3,0,환경보호,상하수도ㆍ수질,안정된 아리수 공급체계 구축,최적의 관망환경 조성
청년 실업,3361547901000.0,신임리더과정 운영,1393741000,1,1,4,일반공공행정,일반행정,인재양성 및 시험관리,교육과정 운영
청년 실업,3361547901000.0,독립유공자 의료비 지원,900000000,1,4,0,사회복지,취약계층지원,사회취약계층 복지강화 및 사회복지 전달체계 개선,사회취약계층 복지강화 및 보훈업무 등 추진
청년 실업,3361547901000.0,수도권 여객 기종점통행량(O/D) 공동조사,142000000,0,2,0,수송및교통,대중교통ㆍ물류등기타,교통체계 구축 및 개선,교통 소통 개선
청년 실업,3361547901000.0,강동청소년회관 시설개선 (주민참여),0,1,2,0,일반공공행정,일반행정,시·자치구간 공동협력 추진,시·자치구간 공동협력
청년 실업,3361547901000.0,"알수록 재미있는 동네 무한 상상 과학교실(주민참여, 마포구)",19000000,1,0,1,사회복지,노인ㆍ청소년,건전한 청소년육성 및 복지서비스 증진,청소년시설 확충 및 운영개선 추진
청년 실업,3361547901000.0,도림천복개(좌안) 포장 및 보수공사,983000000,0,4,0,수송및교통,도로,도로시설관리,하천복개구조물 관리
청년 실업,3361547901000.0,노후불량 하수관로 조사,6800000000.0,0,1,0,환경보호,상하수도ㆍ수질,하수시설 관리,하수도 관리
청년 실업,3361547901000.0,기본경비,1235058000,1,3,0,기타,기타,행정운영경비(동부공원녹지사업소 공원운영과),기본경비
청년 실업,3361547901000.0,동물전시 프로그램 개발운영,1052000000,1,0,1,국토및지역개발,지역및도시,공원이용시민 만족도 향상,다양한 축제 및 볼거리 프로그램 운영
청년 실업,3361547901000.0,양화 한강공원 생태공원화 사업,0,0,3,0,환경보호,환경보호일반,한강공원 이용 및 생태환경 개선,한강 생태계 회복(복원)
청년 실업,3361547901000.0,국외 자매도시 의회대표단 초청,102400000,0,2,1,일반공공행정,입법및선거관리,국내·외 교류사업 추진 및 의정활동 지원강화,국내·외 교류사업
청년 실업,3361547901000.0,가족품앗이 및 공동육아나눔터 운영지원,130000000,2,3,0,사회복지,보육ㆍ가족및여성,행복한 가족만들기 및 아동복지 증진,건강한 가정 조성지원 확대
청년 실업,3361547901000.0,기후변화 인식확산을 위한 찾아가는 교육·홍보,56550000,1,1,0,환경보호,대기,기후변화 총괄 대응,온실가스 감축방안 마련
청년 실업,3361547901000.0,사직대제 및 환구대제 지원,90000000,1,2,0,문화및관광,문화재,역사문화유산의 계승 발전,전통문화 활성화
청년 실업,3361547901000.0,구의야구공원 운영 및 유지관리,159201000,0,2,0,문화및관광,체육,시민체육시설 운영 및 관리,체육시설 운영 및 유지관리
청년 실업,3361547901000.0,재난사고없는 안전한 학교 만들기(주민참여),100000000,0,6,0,교육,유아및초중등교육,학교지원 및 우수인재양성,학교교육 지원
청년 실업,3361547901000.0,도림로 확장,1000000000,0,3,0,수송및교통,도로,도로 건설,간선도로망 확충(도시개발특별)
청년 실업,3361547901000.0,올림픽대로 하부 미연결구간 도로개설,1000000000,1,3,0,수송및교통,도로,도로 건설,간선도로망 확충(도시개발특별)
청년 실업,3361547901000.0,경복궁서측 제1종 지구단위계획구역 공공사업,0,0,4,0,국토및지역개발,지역및도시,한옥건축자산보전진흥,전통문화계승발전(일반)
청년 실업,3361547901000.0,수도계량기 및 부속자재 구매,10094571000.0,0,3,1,환경보호,상하수도ㆍ수질,상수도 경쟁력 확보,건전재정을 위한 세입증대
청년 실업,3361547901000.0,병물 아리수 생산·공급,1359072000,0,8,0,환경보호,상하수도ㆍ수질,아리수 인식개선 및 신뢰도 향상,소통과 공감을 통한 아리수 인식개선
청년 실업,3361547901000.0,시정 주요사업 컨설팅,1500000000,2,3,0,일반공공행정,일반행정,공기업 혁신을 통한 기관역량강화,공기업 운영 및 업무프로세스 개선
청년 실업,3361547901000.0,외국인주민 서울생활 살피미 운영,17252000,2,1,0,사회복지,보육ㆍ가족및여성,글로벌 도시환경 및 선진 다문화 사회 조성,외국인 생활 지원강화
청년 실업,3361547901000.0,기본경비,92572000,0,1,2,기타,기타,행정운영경비(복지건강본부 식품안전과),기본경비
청년 실업,3361547901000.0,천호대교북단 U턴차로교 보수공사,195000000,0,5,0,수송및교통,도로,도로시설관리,자동차전용도로 관리
청년 실업,3361547901000.0,청계천 복개(우안) 보수공사,340000000,1,5,0,수송및교통,도로,도로시설관리,하천복개구조물 관리
청년 실업,3361547901000.0,안암동4가 41-19~41-1주변 사각형거 보수보강,0,0,4,1,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 보수보강
청년 실업,3361547901000.0,재정투융자기금 상환,30352319000.0,2,6,1,환경보호,상하수도ㆍ수질,일반예산(재무활동),내부거래지출(도시안전실 물재생계획과)
청년 실업,3361547901000.0,도시계획정보시스템(UPIS) 및 도시계획포털 유지보수,121212000,0,2,1,국토및지역개발,지역및도시,도시계획의 발전기반 제고,도시발전연구
청년 실업,3361547901000.0,공원 홍보기능 강화,216271000,1,2,1,국토및지역개발,지역및도시,공원이용시민 만족도 향상,다양한 축제 및 볼거리 프로그램 운영
청년 실업,3361547901000.0,의용소방대 활동수당 등,2735672000.0,1,0,0,공공질서및안전,소방,소방재난능력의 향상으로 안정적인 재난시스템 구축,의용소방대 활성화
청년 실업,3361547901000.0,동대문 창조경제 클러스터 활성화,30000000,3,2,2,산업ㆍ중소기업,산업진흥ㆍ고도화,문화산업 육성지원(산업),패션산업 육성(산업)
청년 실업,3361547901000.0,(주민참여-동대문구) 장애인 서울문화유산 나들이 지원,30000000,1,4,0,사회복지,취약계층지원,장애인 자립생활 기반 조성,장애인 자립생활 지원
청년 실업,3361547901000.0,장애인의료재활시설 기능보강(보조),8293479000.0,1,2,0,사회복지,취약계층지원,장애인자립기반 구축,장애인복지시설 확충 지원
청년 실업,3361547901000.0,서울시민건강회의 운영,16000000,1,2,0,보건,보건의료,공공보건· 의료분야 대시민 서비스 수준 향상,공공의료기관 관리 및 운영 개선
청년 실업,3361547901000.0,청량제1고가 성능개선,2980000000.0,0,7,0,수송및교통,도로,교량관리,고가차도 및 입체교차로 관리
청년 실업,3361547901000.0,수질오염총량관리 사업(한강수질개선특별회계),184276000,0,6,0,환경보호,상하수도ㆍ수질,깨끗한 물관리,한강 수질개선
청년 실업,3361547901000.0,기본경비,75827000,1,6,1,기타,기타,행정운영경비(도시안전실 물관리정책과),기본경비
청년 실업,3361547901000.0,이태원로 179번지~녹사평대로 132번지 하수관로 개량,150000000,0,3,1,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 신설개량
청년 실업,3361547901000.0,노약자를 위한 노인요양센터 주변 침사지 복개(주민참여),278000000,4,13,3,국토및지역개발,지역및도시,공원 녹지정책 개발 및 만족도 개선,공원 유지관리 및 이용활성화
청년 실업,3361547901000.0,고추말어린이공원 정비 및 시설개선 (주민참여),150000000,0,3,0,국토및지역개발,지역및도시,공원 녹지정책 개발 및 만족도 개선,공원 유지관리 및 이용활성화
청년 실업,3361547901000.0,외국인 관광택시 확대 운영,550000000,0,4,0,수송및교통,대중교통ㆍ물류등기타,택시서비스 수준 향상 및 물류체계 개선,택시서비스 향상 및 물류관리
청년 실업,3361547901000.0,강서개화축구장 안전펜스 및 스탠드 설치(주민참여),0,0,3,0,문화및관광,체육,시민체육 및 국제스포츠 진흥발전,시민체육공간 확충
청년 실업,3361547901000.0,방화대교남단 접속도로 건설(교통개선분담금 계정),7775000000.0,0,3,0,수송및교통,도로,도로 건설,간선도로망 확충(교통사업특별회계)
청년 실업,3361547901000.0,차량방호울타리 및 중앙분리대 정비사업,500000000,1,3,0,수송및교통,도로,도로시설물 관리,도로 및 도로부속물 관리
청년 실업,3361547901000.0,도로사업소 사무환경개선,1505396000,1,3,0,수송및교통,도로,도로관리(6개 도로사업소),사업소 환경개선
청년 실업,3361547901000.0,신림 빗물펌프장 시설용량 증대,893000000,1,5,1,국토및지역개발,수자원,치수 및 하천 관리,수방대책 사업
청년 실업,3361547901000.0,공공임대주택건설 지원(추가 2만호),15887253000.0,2,3,0,사회복지,주택,수요자 중심의 임대주택 공급 확대,공공임대주택 공급확대(국민)
청년 실업,3361547901000.0,인수동 마을마당 보수정비(주민참여),20000000,6,28,7,국토및지역개발,지역및도시,생활주변 녹지확충,생활주변 녹지확충
청년 실업,3361547901000.0,소방청사 시설물 관리,2549869000.0,2,5,0,공공질서및안전,소방,소방행정업무의 과학화로 고품질 서비스 제공,직무환경 개선
청년 실업,3361547901000.0,의정활동 홍보 및 광고,1445380000,0,5,0,일반공공행정,입법및선거관리,의정활동의 적극홍보 및 정보화 사업 추진,의정활동 홍보 사업
청년 실업,3361547901000.0,지식공유시스템 운영 및 유지보수,69807000,4,2,1,일반공공행정,일반행정,사회문제 해결을 위한 사회혁신의제 발굴실행,사회혁신 기반 조성 및 성과 확산
청년 실업,3361547901000.0,인권보호 및 증진활동 지원,130600000,0,4,1,일반공공행정,일반행정,시민 인권보호 및 권리증진,시민 인권증진 및 인권의식 확산
청년 실업,3361547901000.0,서울시 전자상거래센터 운영,464320000,1,3,0,산업ㆍ중소기업,산업ㆍ중소기업일반,편리하고 안전한 시민생활경제 환경 조성,소비자 권익 보호
청년 실업,3361547901000.0,홀로사는 어르신 바람막이 프로젝트(주민참여),0,0,5,0,사회복지,노인ㆍ청소년,어르신복지 수준향상 및 장사시설 운영 내실화,독거·재가어르신 종합서비스 확대
청년 실업,3361547901000.0,꽃으로 꿈꾸는 자활농장(주민참여),0,0,5,0,사회복지,취약계층지원,노숙인 보호 및 자활지원,노숙인 자활지원
청년 실업,3361547901000.0,은평구 봉산터널 상부 회차로내 주차장 건설,2300000000.0,0,2,0,수송및교통,대중교통ㆍ물류등기타,주차장 확충 및 관리,주차장 건설 및 운영관리(주차관리계정)
청년 실업,3361547901000.0,공영주차장 경사로 지붕덮개 설치(주민참여),75000000,0,5,0,수송및교통,대중교통ㆍ물류등기타,주차장 확충 및 관리,주차장 건설 및 운영관리(주차관리계정)
청년 실업,3361547901000.0,보행편의시설 확충 및 정비,3100000000.0,0,5,0,수송및교통,대중교통ㆍ물류등기타,자전거이용활성화 및 교통환경 개선,보행환경 개선사업
청년 실업,3361547901000.0,저소득층 임대아파트 음식물쓰레기 계량화 시스템구축 지원(주민참여),88000000,0,7,0,환경보호,폐기물,클린도시 조성,음식폐기물 감량 및 안정적처리 기반 구축
청년 실업,3361547901000.0,토지자원의 선제적 관리 및 사전협상제도와 시민참여프로그램 운영,356595000,1,2,0,국토및지역개발,지역및도시,도시개발의 공공성 확보,도시발전 및 공공개발
청년 실업,3361547901000.0,양곡관리,12000000,0,2,0,농림해양수산,농업ㆍ농촌,믿을 수 있는 농수산물 유통환경 조성,유통거래질서 확립
청년 실업,3361547901000.0,노인장기요양보험제도 시행 분담금,92725302000.0,1,2,0,사회복지,노인ㆍ청소년,어르신복지 수준향상 및 장사시설 운영 내실화,치매어르신지원강화
청년 실업,3361547901000.0,은평병원 고객중심 의료서비스 제공,4219340000.0,1,2,1,보건,보건의료,연구활성화 및 시설환경 개선으로 진료서비스 증진,은평병원 운영
청년 실업,3361547901000.0,시설물 관리 물품 구입,529930000,1,3,0,문화및관광,체육,시민체육시설 운영 및 관리,체육시설 운영 및 유지관리
청년 실업,3361547901000.0,세무종합시스템 운영 및 유지보수,1459091000,0,3,0,일반공공행정,일반행정,시세입 목표달성,세입관련 전산시스템 효율적관리
청년 실업,3361547901000.0,청소년 동아리활동 지원,167000000,1,3,0,사회복지,노인ㆍ청소년,건전한 청소년육성 및 복지서비스 증진,청소년 수련 프로그램 운영지원
청년 실업,3361547901000.0,신사고가 보수공사,743000000,0,5,0,수송및교통,도로,교량관리,고가차도 및 입체교차로 관리
청년 실업,3361547901000.0,서울시 빛환경 관리계획 수립,120000000,1,3,0,국토및지역개발,지역및도시,도시관리의 질적수준제고,도시건축공동위원회 운영 등
청년 실업,3361547901000.0,부동산 중개 서비스 개선,14700000,1,2,0,국토및지역개발,지역및도시,도시계획관련 인프라 구축,효율적 토지관리를 위한 인프라 구축 등
청년 실업,3361547901000.0,동물 사육관리시스템 개선,22200000,0,3,0,국토및지역개발,지역및도시,공원이용시민 만족도 향상,동물사 관리기능 및 야생동물 종보전
청년 실업,3361547901000.0,여성정책평가 및 여성공무원 역량강화,155974000,4,3,1,사회복지,보육ㆍ가족및여성,양성평등 및 여성복지증진,여성의 사회참여 확대
청년 실업,3361547901000.0,서울디지털기본계획 2020수립,307156000,0,5,0,일반공공행정,일반행정,지식정보사회 선도기반구축,정보서비스의 안정적 지원
청년 실업,3361547901000.0,서북권 50+캠퍼스 및 복지타운 조성,6092075000.0,1,2,1,사회복지,취약계층지원,사회취약계층 복지강화 및 사회복지 전달체계 개선,지역중심 복지서비스 전달체계 효율화
청년 실업,3361547901000.0,기본경비,41627000,0,4,1,기타,기타,행정운영경비(복지건강본부 장애인복지정책과),기본경비
청년 실업,3361547901000.0,기본경비,561283000,1,1,1,기타,기타,행정운영경비(도시교통본부 교통정책과),기본경비(교통관리계정)
청년 실업,3361547901000.0,도로지하주차장 건설사업 기본설계,0,0,4,0,수송및교통,대중교통ㆍ물류등기타,주차장 확충 및 관리,주차장 건설 및 운영관리(주차관리계정)
청년 실업,3361547901000.0,도로시설물(자치구 위임관리) 긴급보수,2060000000,1,3,0,수송및교통,도로,도로시설관리,도로시설물 운영
청년 실업,3361547901000.0,신월2동 608-2~606-1 간 하수관로 개량,250000000,0,2,1,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 신설개량
청년 실업,3361547901000.0,라일락 향기 가득한 즐거운 등굣길(주민참여),50000000,2,3,0,국토및지역개발,지역및도시,공원 녹지정책 개발 및 만족도 개선,공원 유지관리 및 이용활성화
청년 실업,3361547901000.0,청계천문화관 운영,2525133000.0,2,3,1,문화및관광,문화예술,역사와 문화의 복합공간 창조,박물관 활성화
청년 실업,3361547901000.0,시티넷 사무국 운영 지원,400000000,0,3,0,산업ㆍ중소기업,무역및투자유치,세계도시협력추진,세계도시와의 우수정책 공유
청년 실업,3361547901000.0,서울산업진흥원 출연,20935340000.0,3,2,1,산업ㆍ중소기업,산업진흥ㆍ고도화,활력이 넘치는 경제 환경 구축,기업활동 지원체계 구축
청년 실업,3361547901000.0,서울디지털재단설립,66039000,0,3,0,일반공공행정,일반행정,디지털산업 육성 지원,디지털산업 기반시설 확충 및 지원
청년 실업,3361547901000.0,소비생활센터 운영,15444000,0,3,0,산업ㆍ중소기업,산업ㆍ중소기업일반,편리하고 안전한 시민생활경제 환경 조성,소비자 권익 보호
청년 실업,3361547901000.0,서울노동권익센터 운영,1211676000,6,2,0,사회복지,노동,노동존중문화 정착,근로자 복지 증진
청년 실업,3361547901000.0,협동조합 활성화 종합지원,1173380000,1,5,0,사회복지,사회복지일반,사회적경제 생태계 조성,지역사회중심의 사회적경제조직 발굴 및 육성
청년 실업,3361547901000.0,발달장애인 평생교육센터 운영,348300000,0,1,1,사회복지,취약계층지원,장애인 자립생활 기반 조성,장애인 자립생활 지원
청년 실업,3361547901000.0,인플루엔자 일일감시 체계운영비 지원,11400000,0,3,0,보건,보건의료,생활보건 관리 향상,감염병예방 및 시민건강 관리
청년 실업,3361547901000.0,구로5동 공원로 보행전용거리 운영(주민참여),0,0,3,0,수송및교통,대중교통ㆍ물류등기타,자전거이용활성화 및 교통환경 개선,보행환경 개선사업
청년 실업,3361547901000.0,공동주택관리 실태조사,482000000,0,4,0,국토및지역개발,지역및도시,평생 살고 싶은 주거공동체 만들기,공동주택 커뮤니티 활성화 및 공동 주거문화 개선(일반)
청년 실업,3361547901000.0,개포 외국인학교 유지관리,74880000,1,5,0,산업ㆍ중소기업,무역및투자유치,투자유치 활성화,매력적인 투자환경 조성
청년 실업,3361547901000.0,농지이용관리지원,6549000,2,4,0,농림해양수산,농업ㆍ농촌,믿을 수 있는 농수산물 유통환경 조성,도시농업육성 지원
청년 실업,3361547901000.0,저소득층 자산형성 희망플러스 통장,1232394000,4,3,1,사회복지,취약계층지원,민·관복지협력네트워크 구축 및 복지사각지대 발굴·지원,사회취약계층 복지 강화
청년 실업,3361547901000.0,영유아 및 생애전환기 건강검진,317031000,1,4,0,보건,보건의료,시민건강수준 향상,"노인, 모자보건 서비스 확충"
청년 실업,3361547901000.0,학교시설 복합화 지원사업(관악남부),0,0,4,1,문화및관광,체육,시민체육 및 국제스포츠 진흥발전,시민체육공간 확충
청년 실업,3361547901000.0,동작구 구민회관 고압수변전 설비 이전 및 보강 사업(주민참여),100000000,2,5,0,일반공공행정,일반행정,시·자치구간 공동협력 추진,시·자치구간 공동협력
청년 실업,3361547901000.0,효자배수분구 방재성능 향상 중기대책,4400000000.0,0,4,0,환경보호,상하수도ㆍ수질,하수시설 관리,하수관로 신설개량
청년 실업,3361547901000.0,성내천(송파구) 노후구조물 안전 개선,800000000,1,2,0,국토및지역개발,수자원,치수 및 하천 관리,하천복원 및 정비
청년 실업,3361547901000.0,홈페이지 및 전시안내 시스템 운영,170127000,2,4,0,문화및관광,문화예술,문화예술 진흥,미술관 운영 활성화
청년 실업,3361547901000.0,노숙인 자활시설 운영,11443716000.0,0,5,0,사회복지,취약계층지원,노숙인 보호 및 자활지원,노숙인 복지시설 운영지원
청년 실업,3361547901000.0,서울시민 예술대학 운영,120000000,2,1,1,문화및관광,문화예술,문화예술진흥,문화예술교육지원
청년 실업,3361547901000.0,청소년 휴카페 설치 운영,343000000,0,4,0,사회복지,노인ㆍ청소년,건전한 청소년육성 및 복지서비스 증진,청소년시설 확충 및 운영개선 추진
청년 실업,3361547901000.0,사가정길(장안삼거리~전농삼거리) 확장,1200000000,1,3,0,수송및교통,도로,도로 건설,간선도로망 확충(도시개발특별)
청년 실업,3361547901000.0,제2자유로 종점부(난지도길)입체화(교통개선분담금 계정),1500000000,0,7,1,수송및교통,도로,도로 건설,간선도로망 확충(교통사업특별회계)
청년 실업,3361547901000.0,삼성동 급경사 노후계단 정비(관악구 주민참여),15000000,2,4,1,수송및교통,도로,도로시설물 관리,도로 및 도로부속물 관리
청년 실업,3361547901000.0,클린업시스템 운영 및 모니터링,590669000,0,3,0,사회복지,주택,사람 중심의 주택정비사업 추진,공공관리제도의 안정적 정착(도정)
청년 실업,3361547901000.0,전농동588~배봉로간 및 답십리길 연결고가도로 개설,2600000000.0,1,6,0,국토및지역개발,지역및도시,뉴타운사업의 안정적 추진,뉴타운지원(재촉)
청년 실업,3361547901000.0,수돗물평가위원회 운영,237000000,0,3,0,환경보호,상하수도ㆍ수질,최고품질의 아리수 생산,원·정수 수질관리 강화
청년 실업,3361547901000.0,서울 국제미디어아트 비엔날레 개최,177426000,0,3,0,문화및관광,문화예술,문화예술 진흥,전시회 개최
청년 실업,3361547901000.0,창조경제혁신센터 설치·운영,1300000000,3,0,0,산업ㆍ중소기업,산업진흥ㆍ고도화,활력이 넘치는 경제 환경 구축,산학연 협력을 통한 지식기반산업 육성
청년 실업,3361547901000.0,소규모 건물 에너지 진단 사업,0,1,6,0,환경보호,대기,에너지절약과 생산으로 원전하나줄이기,신재생에너지 보급
청년 실업,3361547901000.0,열원시설 및 열수송관 보수공사(특),10655530000.0,0,3,0,환경보호,대기,에너지절약과 생산으로 원전하나줄이기,지역난방 건설 및 운영
청년 실업,3361547901000.0,석면 슬레이트 지붕 교체 사업,493350000,1,6,0,환경보호,대기,기후변화 총괄 대응,실내공기오염원 관리 및 지원
